Unnamed: 0,headers_text,headers_link
600,"Reviven viejos temores: temperatura, efecto dominó y financiación
vie, 2 jun 2017
¿Qué temperatura alcanzar? “¡Si todas las naciones aplicaran el Acuerdo de París, se reduciría solamente la temperatura mundial en 0,2 ºC hasta 2100! &i",https://www.semana.com/acuerdo-de-paris-y-nuevos-temores-aumento-de-temperatura-y-financiacion/37949/
601,"Milagro en Canadá: clima beneficioso contrarresta los incendios forestales
mar, 22 ago 2023
Amplias zonas del Valle de Okanagan, incluidas las ciudades de Kelowna y West Kelowna, en la Columbia Británica, están amenazadas por las llamas. Alrededor de ...",https://www.semana.com/mundo/articulo/milagro-en-canada-clima-beneficioso-contrarresta-los-incendios-forestales/202348/
602,"¿Cómo ha reducido Santiago de Chile su fuerte contaminación en la última década? Esta es ...
vie, 1 sept 2023
Encerrada entre cerros, Santiago se transforma en el invierno austral en una gran olla a presión. Las bajas temperaturas y una menor ventilación impide que ...",https://www.semana.com/mundo/articulo/como-ha-reducido-santiago-de-chile-su-fuerte-contaminacion-en-la-ultima-decada-esta-es-la-estrategia/202354/
603,"Un canto de amor al Pacífico: así se vive el espectáculo marino de ballenas jorobadas ...
lun, 14 ago 2023
Con exquisitos platos, una vista majestuosa, gente amable y al son de marimbas y tambores, el Pacífico colombiano recibe a los turistas para que disfruten ...",https://www.semana.com/sostenibilidad/medio-ambiente/articulo/un-canto-de-amor-al-pacifico-asi-se-vive-el-espectaculo-marino-de-ballenas-jorobadas-en-bahia-malaga/202315/
604,"Incendio forestal arrasó con parte del páramo del Almorzadero, en Santander
vie, 3 feb 2023
El cuerpo de bomberos de los municipios Carcasí y Cerrito lograron controlar y apagar el incendio que, durante dos días, destruyó parte del páramo del ...",https://www.semana.com/sostenible/medio-ambiente/articulo/incendio-forestal-arraso-con-parte-del-paramo-del-almorzadero-en-santander/202336/
605,"Ola de calor pondría en peligro de extinción a esta especie de tortugas
mié, 3 ago 2022
Un estudio publicado hace cuatro años estaría dando pistas sobre el futuro de las tortugas marinas en el mundo. Al parecer, el sexo de las ...",https://www.semana.com/sostenible/medio-ambiente/articulo/ola-de-calor-pondria-en-peligro-de-extincion-a-esta-especie-de-tortugas/202217/
606,"A punto de morir por sequía, 15.000 chigüiros en Casanare
vie, 1 abr 2022
Las autoridades ambientales del casanare se encuentran en alerta debido a la situación que se registra en Casanare ante las altas temperaturas que se presentan ...",https://www.semana.com/sostenible/medio-ambiente/articulo/a-punto-de-morir-por-sequia-15000-chiguiros-en-casanare/202256/
607,"Noviembre de 2020: el más cálido registrado en el mundo
lun, 7 dic 2020
El servicio europeo Copernicus sobre el cambio climático dio a conocer que este mes de noviembre de 2020 ha sido el más caluroso en el ...",https://www.semana.com/medio-ambiente/articulo/noviembre-de-2020-el-mas-calido-registrado-en-el-mundo---colombia-hoy/58081/
608,"Eclipse total de Sol 2020: 4 efectos que tendrá este fenómeno sobre la Tierra
sáb, 12 dic 2020
Que el día se transforme en noche durante unos segundos o incluso unos minutos es una experiencia inolvidable. Eso mismo lo podrán vivir en carne ...",https://www.semana.com/medio-ambiente/articulo/eclipse-solar-2020--cuatro-efectos-que-tendra-este-fenomeno-sobre-la-tierra/58164/
609,"Cinco trucos efectivos para ahorrar luz al usar la lavadora
mié, 26 abr 2023
El uso de electrodomésticos facilita un amplio listado de procesos dentro del hogar. Precisamente, esta es la razón por la que tener este tipo de ...",https://www.semana.com/tecnologia/articulo/cinco-trucos-efectivos-para-ahorrar-luz-al-usar-la-lavadora/202347/
610,"¿Por qué una ola de calor extremo azota el Ártico?
vie, 3 jul 2020
Las altas temperaturas que se registran en el Ártico encendieron las alarmas de organizaciones como Greenpeace que a través de sus redes advirtió que se ...",https://www.semana.com/por-que-una-ola-de-calor-extremo-azota-el-artico-causas-de-cambio-climatico/52569/
611,"Ola de calor derritió en una semana porción de isla en la Antártida
lun, 24 feb 2020
Los altos niveles alcanzados por las temperaturas en el extremo norte de la península Antártica en los últimos días, han provocado un importante derretimiento de ...",https://www.semana.com/ola-de-calor-derritio-en-una-semana-porcion-de-isla-en-la-antartida/48765/
612,"Volvieron las heladas a Cundinamarca y Boyacá
jue, 5 mar 2020
Luego de varios días en que las temperaturas se manutieron en niveles moderados por cuenta de una condición de humedad en la sabana de Bogotá ...",https://www.semana.com/medio-ambiente/articulo/volvieron-las-heladas-a-cundinamarca-y-boyaca/48885/
613,"¿Hasta cuándo hará tanto frío en Bogotá?
mar, 27 jul 2021
Bogotá registra por estos días una sensación térmica muy baja, apenas sobre los 6 grados centígrados en la madrugada, debido a la transición entre la ...",https://www.semana.com/sostenibilidad/actualidad/articulo/hasta-cuando-hara-tanto-frio-en-bogota/202128/
614,"Esta es la razón por la que las ballenas son el mamífero más grande del ...
jue, 30 mar 2023
De acuerdo con un estudio en fósiles, la diversidad de tamaños en los cetáceos modernos (delfines y ballenas, de 1,5 a 30 metros de longitud) ...",https://www.semana.com/sostenible/medio-ambiente/articulo/esta-es-la-razon-por-la-que-las-ballenas-son-el-mamifero-mas-grande-del-planeta/202320/
615,"Récord mundial: Gigantesca serpiente pitón puso 96 huevos en una sola puesta
mié, 5 abr 2023
En junio de 2022, los medios de comunicación de Florida, Estados Unidos registraron un hecho que causó sorpresa, pero también preocupación y miedo entre la ...",https://www.semana.com/mundo/noticias-estados-unidos/articulo/record-mundial-gigantesca-serpiente-piton-puso-96-huevos-en-una-sola-puesta/202324/
616,"Reducir las emisiones, única salida para evitar el colapso climático, dice la ONU
jue, 6 may 2021
El año pasado las concentraciones de dióxido de carbono volvieron a alcanzar un nuevo máximo con un 148 % por encima de los niveles preindustriales. ...",https://www.semana.com/sostenible/medio-ambiente/articulo/reducir-las-emisiones-unica-salida-para-evitar-el-colapso-climatico-dice-la-onu/202131/
617,"Jerusalén, el municipio colombiano que más se calentó en julio
jue, 25 jul 2019
Mientras en Europa sus habitantes enfrentan olas de calor, que este jueves rompieron récord alcanzando temperaturas que llegaron a los 42 grados centígrados, en ciudades ...",https://www.semana.com/medio-ambiente/articulo/jerusalen-alcanzo-temperaturas-de-41-grados-centigrados/45136/
618,"La Antártida se derrite: su clima está igual al de Bogotá
vie, 14 feb 2020
Hasta hace cinco años el récord de temperatura más alta que existía en la Antártida era de 17,5 grados. Sin embargo, en menos de una ...",https://www.semana.com/medio-ambiente/articulo/la-antartida-se-derrite-su-clima-esta-igual-al-de-bogota/48600/
