,headers_text,headers_link
0,"La CVC sembró el árbol de mangle número 35 mil en medio de su estrategia ...
mar, 6 sept 2022
Hablar del Pacífico Valle Caucano es hablar de vida en su mayor expresión, gracias a la biodiversidad que se ve en cada rincón del territorio ...",https://www.semana.com/sostenibilidad/medio-ambiente/articulo/la-cvc-sembro-el-arbol-de-mangle-numero-35-mil-en-medio-de-su-estrategia-valle-mas-verde/202258/
1,"Con la siembra de 150.000 árboles reforestarán la reserva Nukuma, en el Páramo de Guerrero
jue, 3 jun 2021
Como parte del compromiso de reducir las emisiones de carbono e impactar positivamente en la mitigación del cambio climático, diversas instituciones tanto públicas como privadas ...",https://www.semana.com/sostenible/medio-ambiente/articulo/con-la-siembra-de-150000-arboles-reforestaran-la-reserva-nukuma-en-el-paramo-de-guerrero/202102/
2,"Textilera colombiana Lafayette sembrará 8.000 árboles en cuatro países de Latinoamérica
mar, 3 may 2022
En el marco de los 80 años de innovación de Textiles Lafayette, la compañía entrega al planeta 8.000 árboles en la semana ambiental que inició ...",https://www.semana.com/sostenibilidad/medio-ambiente/articulo/textilera-colombiana-lafayette-sembrara-8000-arboles-en-cuatro-paises-de-latinoamerica/202202/
3,"Se sembraron 10 mil árboles nativos para restaurar áreas afectadas por incendios en el Tolima
mar, 11 ene 2022
En un trabajo articulado por el Jardín Botánico San Jorge de Ibagué en el marco del convenio que se firmó con el Ministerio de Ambiente ...",https://www.semana.com/medio-ambiente/articulo/se-sembraron-10-mil-arboles-nativos-para-restaurar-areas-afectadas-por-incendios-en-el-tolima/202253/
4,"Inician la siembra de un millón de árboles en zonas verdes de Norte de Santander
mié, 26 ene 2022
En pleno corazón del páramo de Santurbán, a más de 3.400 metros sobre el nivel del mar , exactamente en el páramo de Guerrero, territorio ...",https://www.semana.com/sostenible/medio-ambiente/articulo/inician-la-siembra-de-un-millon-de-arboles-en-zonas-verdes-de-norte-de-santander/202207/
5,"Bogotá reverdece con más de 740 árboles sembrados en los últimos días de diciembre
vie, 23 dic 2022
En los últimos días del mes de diciembre, la Secretaria Distrital del Medio Ambiente realizó la plantación de 742 árboles en diferentes ecosistemas estratégicos y ...",https://www.semana.com/sostenible/medio-ambiente/articulo/bogota-reverdece-con-mas-de-740-arboles-sembrados-en-los-ultimos-dias-de-diciembre/202219/
6,"Estos son los cinco departamentos que lideran la siembra de árboles en el país
jue, 29 jul 2021
Cinco son los departamentos que más han aportado a la meta de sembrar 180 millones de árboles en el territorio nacional, propuesta por el Gobierno. ...",https://www.semana.com/sostenible/medio-ambiente/articulo/estos-son-los-cinco-departamentos-que-lideran-la-siembra-de-arboles-en-el-pais/202113/
7,"Estos son los 10 municipios que más han sembrado árboles en el país
vie, 20 ago 2021
En el propósito de restaurar y recuperar áreas degradadas, los municipios a lo largo y ancho del país se la juegan con la siembra de ...",https://www.semana.com/sostenible/medio-ambiente/articulo/estos-son-los-10-municipios-que-mas-han-sembrado-arboles-en-el-pais/202124/
8,"La CAR sembrará más de 30.000 árboles en la ronda del río Bogotá
mar, 10 ago 2021
La cuenca del río Bogotá tiene 589.143 hectáreas, las cuales albergan diferentes ecosistemas con centenares de especies de fauna y flora. Esta riqueza natural, sin ...",https://www.semana.com/sostenible/medio-ambiente/articulo/la-car-sembrara-mas-de-30000-arboles-en-la-ronda-del-rio-bogota/202105/
9,"Familias del Meta recibieron 12.000 árboles para restaurar zona afectada por incendio
mar, 17 may 2022
Un total de 13 familias socias del proyecto de Conservación REDD+, liderado por la empresa desarrolladora de proyectos ALLCOT Group, recibieron 12.000 árboles de especies ...",https://www.semana.com/sostenibilidad/medio-ambiente/articulo/familias-del-meta-recibieron-12000-arboles-para-restaurar-zona-afectada-por-incendio/202225/
